Date Début;Date Fin;Etat;Agrément;Organisateur;Nom de l'épreuve;Lieu;Discipline;Formule;Caractéristiques
20/09/2026;20/09/2026;Validée;1285122;FONTENAY LE COMTE;CONCOURS TAE DE SEPTEMBRE;FONTENAY LE COMTE;Tir à l'Arc Extérieur;;Individuel
19/09/2026;20/09/2026;Validée;1285113;LA GARNACHE;TIR 3D ;LA GARNACHE;Tir 3D;1 X 24 CIBLES;Championnat Départemental individuel
13/09/2026;13/09/2026;Validée;1244031;VALLET;CONCOURS NATURE ;VALLET ;Tir Nature;21 CIBLES;Individuel
13/09/2026;13/09/2026;Validée;1272098;LA FLECHE;CHAMPIONNAT REGIONAL BEURSAULT ;LA FLECHE ;Tir Beursault;Beursault sélectif;Championnat Régional individuel
06/09/2026;06/09/2026;Validée;1249047;CANDE;CAMPAGNE CANDE 06 SEPTEMBRE 2026;SEGRE;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
06/09/2026;06/09/2026;Validée;1272098;LA FLECHE;CHAMPIONNAT DEPARTEMENTAL BEURSAULT ;LA FLECHE ;Tir Beursault;Beursault sélectif;Championnat Départemental individuel
19/07/2026;19/07/2026;Validée;1249066;SAUMUR;WEEK-END TIR 3D;SAUMUR;Tir 3D;1 X 24 CIBLES;Championnat Départemental individuel
18/07/2026;18/07/2026;Validée;1249066;SAUMUR;WEEK-END 3D;SAUMUR;Tir 3D;1 X 24 CIBLES;Individuel
12/07/2026;12/07/2026;Validée;1244031;VALLET;CONCOURS 3D;VALLET ;Tir 3D;1 X 24 CIBLES;Individuel
05/07/2026;05/07/2026;Validée;1272108;LE MANS MAINE;TAE LE MANS MAINE;LE MANS;Tir à l'Arc Extérieur;;"Championnat Départemental individuel
Valide + Para"
05/07/2026;05/07/2026;Validée;1272108;LE MANS MAINE;TAE LE MANS MAINE;LE MANS;Para-tir à l'arc en extérieur;;"Championnat Départemental individuel
Valide + Para"
05/07/2026;05/07/2026;Validée;1253081;LE GENEST ST ISLE;TIR EN CAMPAGNE ECHOLOGIA;LOUVERNÉ;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
04/07/2026;05/07/2026;Validée;1244004;CLISSON;CLISSON-TAE 2026-;CLISSON;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
04/07/2026;05/07/2026;Validée;1244004;CLISSON;CLISSON-TAE 2026-;CLISSON;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
24/06/2026;24/06/2026;Validée;CR12;CR  PAYS DE LA LOIRE;OFFRE SPORTIVE JEUNES;LA CHAPELLE SUR ERDRE;Tir à l'Arc Extérieur;;Individuel
21/06/2026;21/06/2026;Validée;1249068;DAUMERAY;CHAMPIONNAT DÉPARTEMENTAL TAEI;DAUMERAY;Tir à l'Arc Extérieur;;"Championnat Départemental individuel
Valide + Para"
21/06/2026;21/06/2026;Validée;1249068;DAUMERAY;CHAMPIONNAT DÉPARTEMENTAL TAEI;DAUMERAY;Para-tir à l'arc en extérieur;;"Championnat Départemental individuel
Valide + Para"
21/06/2026;21/06/2026;Validée;1285134;CHALLANS;CHAMPIONNAT DEPARTEMENTAL TAE-I;CHALLANS;Tir à l'Arc Extérieur;;Championnat Départemental individuel
20/06/2026;20/06/2026;Validée;1249068;DAUMERAY;CHAMPIONNAT DEPARTEMENTAL TAE;DAUMERAY;Tir à l'Arc Extérieur;;"Championnat Départemental individuel
Valide + Para"
20/06/2026;20/06/2026;Validée;1249068;DAUMERAY;CHAMPIONNAT DEPARTEMENTAL TAE;DAUMERAY;Para-tir à l'arc en extérieur;;"Championnat Départemental individuel
Valide + Para"
20/06/2026;20/06/2026;Validée;1285134;CHALLANS;CHAMPIONNAT DEPARTEMENTAL TAE-N;CHALLANS;Tir à l'Arc Extérieur;;Championnat Départemental individuel
14/06/2026;14/06/2026;Validée;1244019;PONTCHATEAU;TAE PONTCHATEAU;PONTCHATEAU;Tir à l'Arc Extérieur;;Individuel
14/06/2026;14/06/2026;Validée;1249058;MURS ERIGNE;3 EME MANCHE DRE;MURS ERIGNE;Tir à l'Arc Extérieur;;"Individuel
Championnat DRE par équipe"
14/06/2026;14/06/2026;Validée;1249058;MURS ERIGNE;3 EME MANCHE DRE;MURS ERIGNE;Tir à l'Arc Extérieur;;par équipe 2026
14/06/2026;14/06/2026;Validée;1272093;BOULOIRE;CONCOURS 3D JUIN;BOULOIRE;Tir 3D;1 X 24 CIBLES;Championnat Départemental individuel
14/06/2026;14/06/2026;Validée;1249059;ST MACAIRE EN MAUGES;TIR EXTERIEUR;SAINT MACAIRE EN MAUGES;Tir à l'Arc Extérieur;;Individuel
14/06/2026;14/06/2026;Validée;1253081;LE GENEST ST ISLE;TAE LE GENEST ST ISLE;LE GENEST ST ISLE;Tir à l'Arc Extérieur;;Individuel
13/06/2026;14/06/2026;Validée;1285132;LES SABLES D'OLONNE;TAE LES SABLES;LES SABLES D OLONNE;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
13/06/2026;14/06/2026;Validée;1285132;LES SABLES D'OLONNE;TAE LES SABLES;LES SABLES D OLONNE;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
13/06/2026;13/06/2026;Validée;1249058;MURS ERIGNE;TIR EXTÉRIEUR;MURS ERIGNE;Tir à l'Arc Extérieur;;Individuel
13/06/2026;13/06/2026;Validée;1244046;PORNIC;TAE;PORNIC;Tir à l'Arc Extérieur;;Individuel
07/06/2026;07/06/2026;Validée;1272095;LE LUART;TIR EXTERIEUR;LE LUART;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
07/06/2026;07/06/2026;Validée;1272095;LE LUART;TIR EXTERIEUR;LE LUART;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
07/06/2026;07/06/2026;Validée;1249049;MAZE;CONCOURS 3D;CORNILLÉ-LES-CAVES;Tir 3D;1 X 24 CIBLES;Individuel
07/06/2026;07/06/2026;Validée;1253072;MESLAY DU MAINE;TAE DEPARTEMENTAL;MESLAY DU MAINE;Tir à l'Arc Extérieur;;"Championnat Départemental individuel
Valide + Para"
07/06/2026;07/06/2026;Validée;1253072;MESLAY DU MAINE;TAE DEPARTEMENTAL;MESLAY DU MAINE;Para-tir à l'arc en extérieur;;"Championnat Départemental individuel
Valide + Para"
07/06/2026;07/06/2026;Validée;1244044;NANTES;DIVISION NATIONALE 2 MANCHE 2 GROUPE 4;NANTES;Tir à l'Arc Extérieur;;Uniquement équipe
07/06/2026;07/06/2026;Validée;1244044;NANTES;DIVISION NATIONALE 2 MANCHE 2 GROUPE 4;NANTES;Tir à l'Arc Extérieur;;Individuel
06/06/2026;07/06/2026;Validée;1244010;DONGES;3D DONGES;SAVENAY;Tir 3D;1 X 24 CIBLES;Individuel
06/06/2026;07/06/2026;Validée;1285121;MONTAIGU;CONCOURS TAE;MONTAIGU VENDEE;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
06/06/2026;07/06/2026;Validée;1285121;MONTAIGU;CONCOURS TAE;MONTAIGU VENDEE;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
06/06/2026;06/06/2026;Validée;1249047;CANDE;FINALE CHAIRMARTIN TAE 18M;CANDÉ;Loisirs;Débutants;Individuel
06/06/2026;06/06/2026;Validée;1272108;LE MANS MAINE;CHALLENGE EXTÉRIEUR;MAINE;Loisirs;Autre;Individuel
03/06/2026;03/06/2026;Validée;1244046;PORNIC;TAE;PORNIC;Tir à l'Arc Extérieur;;Individuel
31/05/2026;31/05/2026;Validée;1272098;LA FLECHE;CONCOURS EXTERIEUR ;LA FLECHE ;Tir à l'Arc Extérieur;;Individuel
31/05/2026;31/05/2026;Validée;1285130;LES MAGNILS REIGNIERS;PARCOUR NATURE;BESSAY;Tir Nature;21 CIBLES;Championnat Départemental individuel
31/05/2026;31/05/2026;Validée;1253085;CHATEAU GONTIER;TAE EXTERIEUR;CHÂTEAU GONTIER;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
31/05/2026;31/05/2026;Validée;1253085;CHATEAU GONTIER;TAE EXTERIEUR;CHÂTEAU GONTIER;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
31/05/2026;31/05/2026;Validée;1285133;AIZENAY;AIZENAY DOUBLE MIXTE TAEN;AIZENAY;Tir à l'Arc Extérieur;;Uniquement équipe
30/05/2026;31/05/2026;Validée;1272096;ECOMMOY;T.A.E.;ECOMMOY;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
30/05/2026;31/05/2026;Validée;1272096;ECOMMOY;T.A.E.;ECOMMOY;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
30/05/2026;30/05/2026;Validée;1253085;CHATEAU GONTIER;SPECIAL JEUNES EXTERIEUR;CHÂTEAU GONTIER;Jeunes;RENCONTRE JEUNES;Individuel
30/05/2026;30/05/2026;Validée;CR12;CR  PAYS DE LA LOIRE;TRJ;MONTAIGU;Tir à l'Arc Extérieur;;"Individuel
Championnat Club par équipe"
30/05/2026;30/05/2026;Validée;CR12;CR  PAYS DE LA LOIRE;TRJ;MONTAIGU;Tir à l'Arc Extérieur;;Championnat Club individuel
24/05/2026;24/05/2026;Validée;1272109;SILLE LE GUILLAUME;CONCOURS TAE;SILLE LE GUILLAUME;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
24/05/2026;24/05/2026;Validée;1272109;SILLE LE GUILLAUME;CONCOURS TAE;SILLE LE GUILLAUME;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
24/05/2026;24/05/2026;Validée;1249056;ANGERS;"TIR À L&apos;ARC EXTÉRIEUR";ANGERS;Tir à l'Arc Extérieur;;Individuel
24/05/2026;24/05/2026;Validée;1244013;LA HAYE FOUASSIERE;TAE LA HAYE FOUASSIERE;LA HAYE FOUASSIERE;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
24/05/2026;24/05/2026;Validée;1244013;LA HAYE FOUASSIERE;TAE LA HAYE FOUASSIERE;LA HAYE FOUASSIERE;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
23/05/2026;24/05/2026;Validée;1244036;LA TURBALLE;CAMPAGNE LA TURBALLE;LA TURBALLE;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
23/05/2026;23/05/2026;Validée;1249056;ANGERS;"TIR À L&apos;ARC EXTERIEUR";ANGERS;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
23/05/2026;23/05/2026;Validée;1249056;ANGERS;"TIR À L&apos;ARC EXTERIEUR";ANGERS;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
23/05/2026;23/05/2026;Validée;1285115;LA CHATAIGNERAIE;RUN ARCHERY LOISIRS;LA CHATAIGNERAIE;Rencontres Clubs Loisirs;;Individuel
20/05/2026;20/05/2026;Validée;CR12;CR  PAYS DE LA LOIRE;OFFRE SPORTIVE JEUNES;LA CHAPELLE SUR ERDRE;Tir à l'Arc Extérieur;;Individuel
17/05/2026;17/05/2026;Validée;1272091;LAIGNÉ SAINT GERVAIS;TAE LAIGNE ST GERVAIS;LAIGNÉ ST GERVAIS;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
17/05/2026;17/05/2026;Validée;1272091;LAIGNÉ SAINT GERVAIS;TAE LAIGNE ST GERVAIS;LAIGNÉ ST GERVAIS;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
16/05/2026;17/05/2026;Validée;1285113;LA GARNACHE;TAE ;LA GARNACHE;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
16/05/2026;17/05/2026;Validée;1285113;LA GARNACHE;TAE ;LA GARNACHE;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
16/05/2026;16/05/2026;Validée;1244046;PORNIC;3 D;PORNIC;Tir 3D;1 X 24 CIBLES;Individuel
16/05/2026;16/05/2026;Validée;1272105;LE MANS;CONCOURS INTERNE LOISIR;LE MANS;Loisirs;Autre;Individuel
14/05/2026;15/05/2026;Validée;1244046;PORNIC;TIR EN CAMPAGNE;PORNIC;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
10/05/2026;10/05/2026;Validée;1285138;SAINTE FOY;TIR CAMPAGNE CHAMPIONNAT RÉGIONAL;SAINT JULIEN DES LANDES;Tir en Campagne;12 CONNUES + 12 INCONNUES;Championnat Régional individuel
09/05/2026;10/05/2026;Validée;1249068;DAUMERAY;DRE 2E MANCHE;DAUMERAY;Tir à l'Arc Extérieur;;"Individuel
Championnat DRE par équipe"
